country_code,year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
ITA,2018,2.702728154611087,-0.8403646808226105,0.6210907866329639,1.520925329588519,0.25243910038158074,-0.9264597392182522,0.7763373470785344,0.18493711429495407,-0.19007646225710187
ITA,2019,2.7045400976286764,-0.8903122931628633,0.5608074122832675,1.578760207843922,0.13752765007663914,-0.9508762236998053,0.7482279809483318,0.170189610409799,-0.2456378864521474
ITA,2020,2.880066505415518,-0.8234127513871954,-0.041796517754023745,2.078719353490499,-1.5206696120876404,-1.358823579523293,0.6885618681395553,-0.06817059915024316,0.13855734625377275
KOR,1960,-5.3411748743154694,0.4033432655415014,-0.2352717012320288,0.32316701082891613,0.0400903616708497,-0.029524038401555066,1.1695946248489915,0.2892230606373887,-0.4363613383341804
KOR,1961,-5.198933389858893,0.3838025802176812,-0.04724077862739708,0.3465159804534616,0.03881411010341912,-0.08352809767313954,1.3046031913335345,0.2596366941782252,-0.3672218611341597
KOR,1962,-4.922486285726469,0.2735222383293553,-0.10881602977473308,0.4599270737180912,-0.4982174268985527,-0.29881664341709235,1.205542708301806,0.1478944850751307,-0.2703285806106205
KOR,1963,-5.176037159134376,0.40328345417033296,-0.005208869791142142,0.24764629400778135,0.4590116713908225,-0.1354957268915528,1.5893417278046251,0.3094233081331074,-0.4964583993040152
KOR,1964,-5.238003890694066,0.4556876508807106,-0.12172462041732789,0.20208797631349026,0.5665037199709072,-0.18381102258035786,1.7654940263321452,0.3419226894311159,-0.5729206930002491
KOR,1965,-4.7171738419393705,0.21008269611542488,-0.02629764189536567,0.19903641658664187,0.22717717873470583,-0.2935501070888252,1.276964366000324,0.18259270796733923,-0.4109180717050385
KOR,1966,-4.503133711999756,0.08396250242924765,0.4177579892428915,-0.048545270094380415,1.1189907320096213,-0.10807029909423387,1.1694351022123288,0.22355714462398252,-0.48185696145210943
KOR,1967,-4.090601557319565,-0.03672538906616973,0.384354228823361,0.061079781622958323,0.6335530811534504,-0.2741811839301895,0.9333908681118837,0.09262637088829627,-0.2783290416597748
KOR,1968,-3.84408164024966,-0.0748952295888355,0.738409683543758,-0.10144198040373278,1.4374187202405015,-0.07290113057206356,0.8497287660049178,0.12991337255366228,-0.21140629283985382
KOR,1969,-3.663698984508504,-0.05260422047950446,0.7550853929353986,-0.14981370626418283,1.7617685794893696,-0.01871308710736631,0.8059535008985496,0.13399698538816907,-0.12408585048988584
KOR,1970,-3.3232203988396747,-0.12368436628893746,0.46023143417730217,0.0046782768887635015,1.0080203202782956,-0.36537326645107704,0.771157328328424,0.009036322184425728,0.02037023277775556
KOR,1971,-3.1729436770068955,-0.1978741097145961,0.6145565073941677,-0.040534091758382934,1.0988708524879225,-0.3847493152265672,0.803831221885638,0.01857527643570814,0.023474537573944413
